target_name,n_pairs,mean_tm_score,median_tm_score,min_tm_score,max_tm_score,mean_diversity_1_minus_tm,median_diversity_1_minus_tm,min_diversity_1_minus_tm,max_diversity_1_minus_tm,mean_tmalign_rmsd,median_tmalign_rmsd
1SFI,10,0.19136469625747016,0.1922968045071881,0.12640939098804208,0.2608884325449085,0.8086353037425298,0.8077031954928119,0.7391115674550914,0.873590609011958,2.131141591813721,2.1177633171558767
3AV9,10,0.3978479901645974,0.38718381655793094,0.30059768214359006,0.4756392183342848,0.6021520098354026,0.6128161834420691,0.5243607816657152,0.6994023178564099,0.9642065849566992,0.9051786145327486
3AVA,10,0.3245881732190088,0.3100364044843418,0.23892379923944249,0.4674050869323065,0.6754118267809911,0.6899635955156582,0.5325949130676935,0.7610762007605575,1.163135389482726,1.214587349048187
3AVB,10,0.31973646162732094,0.28993329441287197,0.2215543649005434,0.47389360291315846,0.680263538372679,0.710066705587128,0.5261063970868416,0.7784456350994566,1.2722900526414658,1.284231933036271
3AVF,10,0.3642298055369173,0.3235748800033639,0.2004789795548852,0.6210304585399189,0.6357701944630826,0.676425119996636,0.3789695414600811,0.7995210204451149,1.1512946888523004,1.2094816883947948
3AVG,10,0.372234403100811,0.33035785846875954,0.26958257869104824,0.5800494087179965,0.627765596899189,0.6696421415312405,0.4199505912820035,0.7304174213089518,1.2047624188648332,1.2156135867654054
3AVH,10,0.3642448105352358,0.35701488349872,0.18664840601167015,0.5111610461164148,0.6357551894647642,0.64298511650128,0.4888389538835852,0.8133515939883298,1.2129492953406806,1.2170269329294627
3AVI,10,0.30184743803888836,0.26524944184366606,0.18693841967816804,0.4728241594329694,0.6981525619611116,0.7347505581563339,0.5271758405670306,0.813061580321832,0.9690980543273868,0.717542438742681
3AVJ,10,0.39367358667670305,0.3435868686147216,0.26863215835495236,0.8556510873837401,0.606326413323297,0.6564131313852783,0.14434891261625993,0.7313678416450476,1.227292168741773,1.312114261983968
3AVK,10,0.32000187481295134,0.3106370830089586,0.2539391049248004,0.4006738917038669,0.6799981251870486,0.6893629169910414,0.5993261082961331,0.7460608950751997,1.0474609207725392,0.979242098283013
3AVM,10,0.36754275255986835,0.39959023793480836,0.22743697958298845,0.482252988648191,0.6324572474401317,0.6004097620651916,0.517747011351809,0.7725630204170115,1.163653467799366,1.276021819870767
3AVN,10,0.3380078911449532,0.33723613866085334,0.23308474546208838,0.4531484265180762,0.6619921088550467,0.6627638613391467,0.5468515734819238,0.7669152545379117,1.0723857971318262,1.153497564616437
3P8F,10,0.2510508353710382,0.2569372057301471,0.18678111212900944,0.31521807385515377,0.7489491646289618,0.7430627942698529,0.6847819261448462,0.8132188878709905,1.8386384487414684,1.8775525807906632
3WNE,10,0.6527788952833066,0.5890741299278963,0.49715994898880456,1.0,0.3472211047166935,0.41092587007210374,0.0,0.5028400510111954,0.35499804600705326,0.3398323455341829
3ZGC,10,0.4025496570358074,0.40839422481745036,0.2881480489168232,0.49196534671424125,0.5974503429641924,0.5916057751825496,0.5080346532857587,0.7118519510831768,0.9003363755899135,0.7407604755724491
4K1E,10,0.21249376444266174,0.20463144454537974,0.15324679923279266,0.2961401570537458,0.7875062355573383,0.7953685554546203,0.7038598429462541,0.8467532007672074,1.6183099738431679,1.6975243606290147
4KEL,10,0.21067851771307633,0.2063973088436522,0.15607298047674448,0.2959143667245102,0.7893214822869237,0.7936026911563479,0.7040856332754898,0.8439270195232556,1.9194878920844143,1.8858403481331685
